strTaxClass,strSppC,strITIScode,strElCode,strGName,strSComNam,strSeasWarn,strGRank,strGRank2,strSRankAL,strSRankAL2,strSRankFL,strSRankFL2,strSRankGA,strSRankGA2,strSRankKY,strSRankKY2,strSRankMS,strSRankMS2,strSRankNC,strSRankNC2,strSRankSC,strSRankSC2,strSRankTN,strSRankTN2,strSRankVA,strSRankVA2,strSProtAL,strSProtFL,strSProtGA,strSProtKY,strSProtMS,strSProtNC,strSProtSC,strSProtTN,strSProtVA,strSGCNAL,strSGCNFL,strSGCNGA,strSGCNKY,strSGCNMS,strSGCNNC,strSGCNSC,strSGCNTN,strSGCNVA,USESA_CODE
Avian,bSWWA,178848,ABPBX09010,"Limnothlypis swainsonii","Swainson's Warbler","Seasonal Note: this is a migratory species in the Southeast - only breeding season data is presented here",G4,,S3B,S3B,SNRB,,S3,S3,S3S4B,S3S4B,S3S4B,S3S4B,S3B,S3B,S4,,S3,S3,S2B,S2B,,,,N,,"W2,W5",,D,SC,1,1,1,1,1,1,1,1,1,
Avian,bTRES,178431,ABPAU03010,"Tachycineta bicolor","Tree Swallow","Seasonal Note: this is a migratory species in the Southeast - only breeding season data is presented here",G5,,S5N,,SNRN,,S5,,S3S4B,S3S4B,SNA,,"S3B,S4N","S3B,S4N",SNA,,S4,,S5,,,,,N,,,,,,0,0,0,0,0,0,0,0,0,
Avian,bTRHE,174826,ABNGA06050,"Egretta tricolor","Tricolored Heron",,G5,,"S4B,S3N","S4B,S3N",S4,,S4,,SNA,,"S2B,S1N","S2B,S1N","S3B,S3N","S3B,S3N","SNRB,SNRN",,,,"S2B,S3N","S2B,S3N",,SSC,,N,,SC,,,SC,0,1,1,0,1,1,1,0,1,
Avian,bTUSW,174987,ABNJB02010,"Cygnus columbianus","Tundra Swan",,G5,,SNR,,SNA,,S3,S3,SNA,,SNA,,S5N,,SNRN,,S3N,S3N,SNRN,,,,,N,,,,,,0,0,0,0,0,0,1,0,0,
Avian,bTUTI,178738,ABPAW01110,"Baeolophus bicolor","Tufted Titmouse",,G5,,S5,,SNR,,S5,,S5,,S5,,S5,,SNR,,S5,,S5,,,,,N,,,,,,0,0,0,0,0,0,0,0,0,
Avian,bTUVU,175265,ABNKA02010,"Cathartes aura","Turkey Vulture","Seasonal Note: this is a migratory species in the Southeast - only breeding season data is presented here",G5,,S5,,SNR,,S5,,S4S5B,,S4B,,"S5B,S5N",,SNR,,S5B,,S4,,,,,N,,,,,,0,0,0,0,0,0,0,0,0,
Avian,bUPSA,176610,ABNNF06010,"Bartramia longicauda","Upland Sandpiper","Seasonal Note: this is a migratory species in the Southeast - only breeding season data is presented here",G5,,S3S4N,S3S4N,SNA,,SNRN,,SHB,,SNA,,SNA,,SNA,,SNA,,S1B,S1B,,,,H,,,,,LT,0,0,0,1,0,0,1,1,1,
Avian,bVEER,179796,ABPBJ18080,"Catharus fuscescens",Veery,"Seasonal Note: this is a migratory species in the Southeast - only breeding season data is presented here",G5,,SNR,,SNA,,S4,,S3S4B,S3S4B,SNA,,S4B,,SNA,,S4B,,S4,,,,,N,,,,,,0,0,0,0,0,0,0,0,0,
Avian,bVESP,179366,ABPBX95010,"Pooecetes gramineus","Vesper Sparrow","Seasonal Note: this is a migratory species in the Southeast - only breeding season data is presented here",G5,,S4N,,SNRN,,S4,,S1B,S1B,SNA,,"S2B,S2N","S2B,S2N",SNRN,,"S1B,S4N","S1B,S4N",S4,,,,,E,,SC,,D,,0,0,0,1,0,1,0,1,0,
Avian,bVIRA,176221,ABNME05030,"Rallus limicola","Virginia Rail","Seasonal Note: this is a migratory species in the Southeast - only breeding season data is presented here",G5,,S4N,,SNRN,,S3S4,S3S4,S1B,S1B,SNA,,"S3B,S5N","S3B,S5N",SNRN,,"S1B,S3N","S1B,S3N","S2B,S3N","S2B,S3N",GB,,,N,,,,,,0,0,0,0,0,1,0,0,1,
Avian,bWAVI,179023,ABPBW01210,"Vireo gilvus","Warbling Vireo","Seasonal Note: this is a migratory species in the Southeast - only breeding season data is presented here",G5,,S1B,S1B,SNA,,SNRN,,S5B,,S5B,,S2B,S2B,SNA,,S4,,S4,,,,,N,,SR,,,,0,0,0,0,0,0,0,0,0,
Avian,bWBNU,178775,ABPAZ01020,"Sitta carolinensis","White-breasted Nuthatch",,G5,,S5,,S2,S2,S4S5,,S5,,S4B,,"S5B,S5N",,SNR,,S5,,S5,,,,,N,,,,,,0,0,0,0,0,0,0,0,0,
Avian,bWCPI,177063,ABNPB01050,"Patagioenas leucocephala","White-crowned Pigeon",,G3,G3,,,S3,S3,,,,,SNA,,,,,,,,,,,ST,,,,,,,,0,1,0,0,0,0,0,0,0,
Avian,bWEVI,178991,ABPBW01020,"Vireo griseus","White-eyed Vireo","Seasonal Note: this is a migratory species in the Southeast - only breeding season data is presented here",G5,,"S5B,S3N","S5B,S3N",SNR,,S5,,S5B,,"S5B,S5N",,"S5B,S1N","S5B,S1N",S4?B,,S4,,S5,,,,,N,,,,,,0,0,0,0,0,0,0,1,0,
Avian,bWEWA,178850,ABPBX08010,"Helmitheros vermivorum","Worm-eating Warbler","Seasonal Note: this is a migratory species in the Southeast - only breeding season data is presented here",G5,,S3B,S3B,S1,S1,S5,,S4S5B,,S3B,S3B,S4B,,S4,,S4,,S4,,,,,N,,,,,,0,1,0,0,0,0,0,0,0,
Avian,bWHIB,174930,ABNGE01010,"Eudocimus albus","White Ibis",,G5,,"S3N,S4B","S3N,S4B",S4,,S4,,SNA,,"S2B,S3N","S2B,S3N","S3B,S3N","S3B,S3N",SNR,,S3N,S3N,S1B,S1B,,SSC,,N,,W2,,,,0,1,0,0,1,0,1,0,0,
Avian,bWHIM,176599,ABNNF07020,"Numenius phaeopus",Whimbrel,,G5,,S3N,S3N,SNRN,,S4,,SNA,,SNA,,SNA,,SNRN,,SNA,,SNA,,,,,N,,,,,,0,0,1,0,0,0,1,1,1,
Avian,bWIFL,178341,ABPAE33040,"Empidonax traillii","Willow Flycatcher","Seasonal Note: this is a migratory species in the Southeast - only breeding season data is presented here",G5,,SNR,,SNA,,S3,S3,S3S4B,S3S4B,SNA,,S3B,S3B,S4,,S2S3,S2S3,S4B,,,,,N,,W2,,,,0,0,0,1,0,1,0,0,1,
Avian,bWILL,176638,ABNNF02010,"Catoptrophorus semipalmatus",Willet,"Seasonal Note: this is a migratory species in the Southeast - only breeding season data is presented here",G5,,"S2B,S5N","S2B,S5N",SNR,,S5,,SNA,,"S4B,S4N",,"S4B,S4N",,SNR,,S3N,S3N,S4,,,,,,,,,,,0,0,0,0,0,0,1,0,0,
Avian,bWIPL,176517,ABNNB03040,"Charadrius wilsonia","Wilson's Plover","Seasonal Note: this is a migratory species in the Southeast - only breeding season data is presented here",G5,,S1,S1,S2,S2,S2,S2,,,S1,S1,S3B,S3B,S3?,S3?,,,S1B,S1B,SP,,T,,,SC,ST,,LE,1,1,1,0,1,1,1,1,1,
Avian,bWITU,176136,ABNLC14010,"Meleagris gallopavo","Wild Turkey",,G5,,S5,,SNR,,S5,,S4,,S5,,S5,,SNR,,S5,,S5,,GB,,,N,,,,,,0,0,0,0,0,0,0,0,0,
Avian,bWIWR,178547,ABPBG09050,"Troglodytes troglodytes","Winter Wren","Seasonal Note: this is a migratory species in the Southeast - only breeding season data is presented here",G5,,S5N,,SNA,,S4,,S4N,,SNA,,"S3B,S5N","S3B,S5N",S4?N,,"S3B,S4N","S3B,S4N","S2B,S4N","S2B,S4N",,,,N,,"W2,W5",,,SC,0,0,0,0,0,0,0,1,1,
